Date,Workout Type,Workout Name,Description,Duration,Distance,Distance Unit,Intensity,Notes,Elevation
2025-10-14,Strength,Recovery - Ankles & Feet,"Bosu balance: 2×30sec each leg | Banded dorsiflexion: 2×15 each | Toe towel grabs: 2×20",15,0,miles,Easy,Micro-dose on rest day,0
2025-10-15,Run,Group Run - Hills,"Group run with crew. Your pace, your choice on duration.",120,7,miles,Moderate,"1500-2000ft gain. Non-negotiable social run."
2025-10-15,Strength,Lower Body - Recovery Phase,"WARM-UP (5min): Hip circles, leg swings, BW squats | MAIN: Goblet Squat 3×12 @35lb | SL RDL 3×8 each (BW) | Glute Bridge (banded) 3×15 | Calf Raises (deficit) 3×15 | FINISHER: Plank 3×30sec | Bird dog 2×10 each",30,0,miles,Moderate,Post-run strength. Keep it light - legs are tired.
2025-10-16,Run,Easy Recovery,"Easy conversational pace. Flat or gentle rolling.",50,5,miles,Easy,Recovery day
2025-10-16,Strength,Core Endurance,"Dead bugs: 3×10 | Side plank: 2×30sec each | Flutter kicks: 2×20",12,0,miles,Easy,Micro-dose after easy run
2025-10-17,Run,Easy Hills - Not Intervals,"4-6×90sec uphill @ conversational pace, jog down. Total 45-60min.",55,6,miles,Moderate,NOT intervals yet - just getting comfortable with hills again
2025-10-17,Strength,Upper Body - Recovery Phase,"WARM-UP (5min): Arm circles, band pull-aparts, dead hangs 10sec | MAIN: Push-ups 3×8-10 (knees OK) | DB Row 3×10 @30lbs each | OH Press 3×8 @35lb | Dead Hang 3×15-20sec | FINISHER: Farmer Carry 2×1min @44lb KBs | Band pull-aparts 2×20",30,0,miles,Moderate,Post-run upper body. Start pull-up progression with hangs.
2025-10-18,Run,Easy Recovery,"Easy conversational pace.",50,5,miles,Easy,Recovery day
2025-10-19,Rest,Complete Rest,No running or strength. Recovery week.,0,0,miles,Rest,Sleep in! Or light walk if antsy.
2025-10-20,Run,Long Run - Confidence Builder,"Focus: run ALL downhills, even if slow. Practice mud sections if possible.",130,11,miles,Easy,"<1500ft gain. This is about rebuilding confidence, not crushing it."
2025-10-21,Strength,Recovery - Ankles & Feet,"Bosu balance: 2×30sec each leg | Banded dorsiflexion: 2×15 each | Toe towel grabs: 2×20",15,0,miles,Easy,Week 2 micro-dose
2025-10-22,Run,Group Run - Hills,"Group run with crew.",120,7,miles,Moderate,1500-2000ft gain
2025-10-22,Strength,Lower Body - Recovery Phase,"WARM-UP (5min): Hip circles, leg swings, BW squats | MAIN: Goblet Squat 3×12 @35lb | SL RDL 3×8 each (BW) | Glute Bridge (banded) 3×15 | Calf Raises (deficit) 3×15 | FINISHER: Plank 3×30sec | Bird dog 2×10 each",30,0,miles,Moderate,Same as Week 1 - building consistency
2025-10-23,Run,Easy Recovery,"Easy conversational pace.",50,5,miles,Easy,Recovery day
2025-10-23,Strength,Core Endurance,"Dead bugs: 3×10 | Side plank: 2×30sec each | Flutter kicks: 2×20",12,0,miles,Easy,Micro-dose
2025-10-24,Run,Easy Hills,"4-6×90sec uphill @ conversational pace, jog down. Total 45-60min.",55,6,miles,Moderate,Building hill comfort
2025-10-24,Strength,Upper Body - Recovery Phase,"WARM-UP (5min): Arm circles, band pull-aparts, dead hangs 10sec | MAIN: Push-ups 3×8-10 | DB Row 3×10 @30lbs each | OH Press 3×8 @35lb | Dead Hang 3×15-20sec | FINISHER: Farmer Carry 2×1min @44lb KBs | Band pull-aparts 2×20",30,0,miles,Moderate,Pull-up progression continues
2025-10-25,Run,Easy Recovery,Easy conversational pace.,50,5,miles,Easy,Recovery day
2025-10-26,Rest,Complete Rest,Recovery.,0,0,miles,Rest,Rest day
2025-10-27,Run,Long Run - Build Confidence,"Focus: run downhills with quick feet, lean forward slightly.",140,13,miles,Easy,"1500ft gain. Celebrate every downhill you RUN, not walk."
2025-10-28,Strength,Stability - Ankles & Bosu,"Bosu single-leg balance: 3×45sec each (eyes open) | Banded ankle eversion/inversion: 3×15 | Calf raises bent knee: 2×20",15,0,miles,Easy,Week 3 - General Prep Phase begins
2025-10-29,Run,Group Run - Hills,Group run with crew.,120,7,miles,Moderate,1500-2000ft gain
